date_str,food_cpi_index,date,year,month,month_name,year_month,quarter,cpi_yoy_pct,cpi_yoy_absolute,cpi_index_2017
2017-01-01,248.242,2017-01-01,2017,1,January,2017-01,1,,,99.27102262445851
2017-02-01,248.791,2017-02-01,2017,2,February,2017-02,1,,,99.4905656164616
2017-03-01,249.165,2017-03-01,2017,3,March,2017-03,1,,,99.64012678041267
2017-04-01,249.739,2017-04-01,2017,4,April,2017-04,2,,,99.86966717642318
2017-05-01,250.016,2017-05-01,2017,5,May,2017-05,2,,,99.98043841282546
2017-06-01,249.653,2017-06-01,2017,6,June,2017-06,2,,,99.83527610663764
2017-07-01,250.214,2017-07-01,2017,7,July,2017-07,3,,,100.05961785256427
2017-08-01,250.493,2017-08-01,2017,8,August,2017-08,3,,,100.17118888128715
2017-09-01,250.993,2017-09-01,2017,9,September,2017-09,3,,,100.37113696143567
2017-10-01,251.364,2017-10-01,2017,10,October,2017-10,4,,,100.51949843690589
2017-11-01,250.871,2017-11-01,2017,11,November,2017-11,4,,,100.32234962987945
2017-12-01,251.238,2017-12-01,2017,12,December,2017-12,4,,,100.46911152070845
2018-01-01,252.361,2018-01-01,2018,1,January,2018-01,1,1.6592679723817838,4.119,100.91819490872203
2018-02-01,252.266,2018-02-01,2018,2,February,2018-02,1,1.3967547057570417,3.4749999999999943,100.8802047734938
2018-03-01,252.37,2018-03-01,2018,3,March,2018-03,1,1.2862962294062141,3.2050000000000125,100.9217939741647
2018-04-01,253.209,2018-04-01,2018,4,April,2018-04,2,1.389450586412222,3.469999999999999,101.25730685265393
2018-05-01,253.098,2018-05-01,2018,5,May,2018-05,2,1.2327211058492438,3.082000000000022,101.21291837886095
2018-06-01,253.231,2018-06-01,2018,6,June,2018-06,2,1.4331892667021728,3.578000000000003,101.26610456818045
2018-07-01,253.746,2018-07-01,2018,7,July,2018-07,3,1.411591677524049,3.5320000000000107,101.47205109073344
2018-08-01,254.077,2018-08-01,2018,8,August,2018-08,3,1.4307785047885657,3.584000000000003,101.60441671979174
2018-09-01,254.393,2018-09-01,2018,9,September,2018-09,3,1.3546194515384968,3.4000000000000057,101.73078390644564
2018-10-01,254.358,2018-10-01,2018,10,October,2018-10,4,1.1911013510287782,2.9939999999999998,101.71678754083521
2018-11-01,254.379,2018-11-01,2018,11,November,2018-11,4,1.39832822446595,3.5079999999999814,101.72518536020145
2018-12-01,255.21,2018-12-01,2018,12,December,2018-12,4,1.5809710314522496,3.9720000000000084,102.05749906940831
2019-01-01,256.417,2019-01-01,2019,1,January,2019-01,1,1.6072214010881103,4.055999999999983,102.54017373488682
2019-02-01,257.222,2019-02-01,2019,2,February,2019-02,1,1.9645929296853382,4.955999999999989,102.86209014392595
2019-03-01,257.724,2019-03-01,2019,3,March,2019-03,1,2.1214882910012944,5.353999999999985,103.06283801639506
2019-04-01,257.708,2019-04-01,2019,4,April,2019-04,2,1.7767930839741153,4.499000000000024,103.05643967783034
2019-05-01,258.11,2019-05-01,2019,5,May,2019-05,2,1.980260610514506,5.0120000000000005,103.21719793426973
2019-06-01,258.064,2019-06-01,2019,6,June,2019-06,2,1.9085341052240912,4.833000000000027,103.19880271089608
2019-07-01,258.274,2019-07-01,2019,7,July,2019-07,3,1.7844616269813152,4.527999999999992,103.28278090455845
2019-08-01,258.41,2019-08-01,2019,8,August,2019-08,3,1.7053885239514122,4.333000000000027,103.33716678235885
2019-09-01,258.943,2019-09-01,2019,9,September,2019-09,3,1.7885712264095188,4.549999999999983,103.55031143579716
2019-10-01,259.632,2019-10-01,2019,10,October,2019-10,4,2.0734555233175245,5.274000000000001,103.82583989024184
2019-11-01,259.467,2019-11-01,2019,11,November,2019-11,4,2.00016510796881,5.087999999999994,103.7598570237928
2019-12-01,259.823,2019-12-01,2019,12,December,2019-12,4,1.8075310528584243,4.612999999999971,103.90222005685857
2020-01-01,261.057,2020-01-01,2020,1,January,2020-01,1,1.8095524087716752,4.640000000000043,104.39569191866511
2020-02-01,261.876,2020-02-01,2020,2,February,2020-02,1,1.8093320167015259,4.653999999999996,104.72320687394839
2020-03-01,262.708,2020-03-01,2020,3,March,2020-03,1,1.9338517173410397,4.984000000000037,105.05592047931553
2020-04-01,266.757,2020-04-01,2020,4,April,2020-04,2,3.5113384140189607,9.048999999999978,106.67510003235827
2020-05-01,268.439,2020-05-01,2020,5,May,2020-05,2,4.001782185889735,10.329000000000008,107.3477253739779
2020-06-01,269.77,2020-06-01,2020,6,June,2020-06,2,4.536084072168123,11.70599999999996,107.87998716333324
2020-07-01,268.863,2020-07-01,2020,7,July,2020-07,3,4.09990939854572,10.588999999999999,107.51728134594383
2020-08-01,269.079,2020-08-01,2020,8,August,2020-08,3,4.128710189234153,10.668999999999983,107.60365891656801
2020-09-01,269.163,2020-09-01,2020,9,September,2020-09,3,3.9468145499202745,10.220000000000027,107.63725019403294
2020-10-01,269.828,2020-10-01,2020,10,October,2020-10,4,3.927096813952047,10.19599999999997,107.90318114063047
2020-11-01,269.069,2020-11-01,2020,11,November,2020-11,4,3.700663282806693,9.602000000000032,107.59965995496503
2020-12-01,270.023,2020-12-01,2020,12,December,2020-12,4,3.9257494525119174,10.200000000000045,107.98116089188841
2021-01-01,270.938,2021-01-01,2021,1,January,2021-01,1,3.784997146217095,9.880999999999972,108.3470658785602
2021-02-01,271.363,2021-02-01,2021,2,February,2021-02,1,3.6227069299974213,9.487000000000023,108.51702174668645
2021-03-01,271.812,2021-03-01,2021,3,March,2021-03,1,3.465444523958161,9.103999999999985,108.69657512265982
2021-04-01,273.09,2021-04-01,2021,4,April,2021-04,2,2.3740707835220753,6.33299999999997,109.20764241551942
2021-05-01,274.212,2021-05-01,2021,5,May,2021-05,2,2.1505816964002777,5.772999999999968,109.6563259073727
2021-06-01,276.206,2021-06-01,2021,6,June,2021-06,2,2.385735997331073,6.4360000000000355,110.45371885100504
2021-07-01,278.127,2021-07-01,2021,7,July,2021-07,3,3.445621004005761,9.26400000000001,111.22191937493564
2021-08-01,279.135,2021-08-01,2021,8,August,2021-08,3,3.7371924230430453,10.055999999999983,111.62501470451505
2021-09-01,281.506,2021-09-01,2021,9,September,2021-09,3,4.5856971426236015,12.342999999999961,112.57316850057933
2021-10-01,284.205,2021-10-01,2021,10,October,2021-10,4,5.328209081340707,14.37700000000001,113.65248823722105
2021-11-01,285.507,2021-11-01,2021,11,November,2021-11,4,6.109213621784737,16.437999999999988,114.1731530379278
2021-12-01,286.966,2021-12-01,2021,12,December,2021-12,4,6.2746506779052025,16.942999999999984,114.75660153580121
2022-01-01,289.772,2022-01-01,2022,1,January,2022-01,1,6.951405856690451,18.834000000000003,115.8787101615947
2022-02-01,292.794,2022-02-01,2022,2,February,2022-02,1,7.897539458216474,21.430999999999983,117.08719635801236
2022-03-01,295.728,2022-03-01,2022,3,March,2022-03,1,8.798728532956602,23.915999999999997,118.26049169232388
2022-04-01,298.711,2022-04-01,2022,4,April,2022-04,2,9.381888754623024,25.621000000000038,119.45338193848998
2022-05-01,302.038,2022-05-01,2022,5,May,2022-05,2,10.147623007016481,27.826000000000022,120.78383646379824
2022-06-01,305.041,2022-06-01,2022,6,June,2022-06,2,10.439671839134546,28.83499999999998,121.98472463317025
2022-07-01,308.532,2022-07-01,2022,7,July,2022-07,3,10.93205621892157,30.404999999999973,123.38076212876723
2022-08-01,310.875,2022-08-01,2022,8,August,2022-08,3,11.370842065667164,31.74000000000001,124.31771883234319
2022-09-01,313.142,2022-09-01,2022,9,September,2022-09,3,11.238126363203627,31.636000000000024,125.2242834277366
2022-10-01,315.323,2022-10-01,2022,10,October,2022-10,4,10.949138825847538,31.117999999999995,126.09645695334444
2022-11-01,315.857,2022-11-01,2022,11,November,2022-11,4,10.630212218964875,30.350000000000023,126.31000150294307
2022-12-01,316.839,2022-12-01,2022,12,December,2022-12,4,10.409944035181873,29.87299999999999,126.70269953235476
2023-01-01,319.136,2023-01-01,2023,1,January,2023-01,1,10.133484256587955,29.364000000000033,127.62126101255708
2023-02-01,320.569,2023-02-01,2023,2,February,2023-02,1,9.486191656932874,27.775000000000034,128.19431221026275
2023-03-01,320.863,2023-03-01,2023,3,March,2023-03,1,8.499364280690358,25.13499999999999,128.31188168139005
2023-04-01,321.566,2023-04-01,2023,4,April,2023-04,2,7.651208023808942,22.85499999999996,128.59300868207887
2023-05-01,322.249,2023-05-01,2023,5,May,2023-05,2,6.691542123838734,20.211000000000013,128.86613775956178
2023-06-01,322.556,2023-06-01,2023,6,June,2023-06,2,5.741851095426509,17.514999999999986,128.98890588077293
2023-07-01,323.523,2023-07-01,2023,7,July,2023-07,3,4.858815293065244,14.991000000000042,129.3756054677802
2023-08-01,324.1,2023-08-01,2023,8,August,2023-08,3,4.254121431443503,13.225000000000023,129.6063455522716
2023-09-01,324.704,2023-09-01,2023,9,September,2023-09,3,3.6922546320838467,11.562000000000012,129.847882833091
2023-10-01,325.731,2023-10-01,2023,10,October,2023-10,4,3.3007424133349117,10.408000000000015,130.25857618971605
2023-11-01,325.172,2023-11-01,2023,11,November,2023-11,4,2.9491193799725757,9.314999999999998,130.03503423611002
2023-12-01,325.409,2023-12-01,2023,12,December,2023-12,4,2.704843785013833,8.569999999999993,130.1298096261004
2024-01-01,327.327,2024-01-01,2024,1,January,2024-01,1,2.566617366890589,8.190999999999974,130.89681046155016
2024-02-01,327.731,2024-02-01,2024,2,February,2024-02,1,2.234152397767719,7.161999999999978,131.05836851031015
2024-03-01,328.043,2024-03-01,2024,3,March,2024-03,1,2.237715161922682,7.180000000000007,131.18313611232284
2024-04-01,328.678,2024-04-01,2024,4,April,2024-04,2,2.2116766076015537,7.112000000000023,131.43707017411145
2024-05-01,329.12,2024-05-01,2024,5,May,2024-05,2,2.1322021169964733,6.870999999999981,131.61382427696276
2024-06-01,329.71,2024-06-01,2024,6,June,2024-06,2,2.2179094482818407,7.153999999999996,131.849763011538
2024-07-01,330.561,2024-07-01,2024,7,July,2024-07,3,2.1754249311486173,7.037999999999954,132.1900746439508
2024-08-01,330.75,2024-08-01,2024,8,August,2024-08,3,2.0518358531317338,6.649999999999977,132.26565501824692
2024-09-01,332.083,2024-09-01,2024,9,September,2024-09,3,2.2725312900364614,7.379000000000019,132.7987165999229
2024-10-01,332.678,2024-10-01,2024,10,October,2024-10,4,2.1327414338825568,6.947000000000003,133.0366548152996
2024-11-01,332.904,2024-11-01,2024,11,November,2024-11,4,2.3778185083586534,7.731999999999971,133.12703134752675
2024-12-01,333.566,2024-12-01,2024,12,December,2024-12,4,2.506691578905307,8.156999999999982,133.39176260564338
